Symbol,Date,Type,Zone,RVOL,Entry,Exit,Reason,Spot_PnL,Option_PnL,Total_Profit
BAJFINANCE,2025-11-24,SHORT,QUIET,1.149596659192669,994.3,994.0,Time Limit (60m),0.2999999999999545,0.14999999999997726,18.749999999997158
HDFCLIFE,2025-11-18,SHORT,GOLD,1.8520924438967876,764.0,760.6,EOD,3.3999999999999773,1.6999999999999886,849.9999999999943
HDFCLIFE,2025-11-19,SHORT,QUIET,1.169806507761447,758.4,761.0,Time Limit (60m),-2.6000000000000227,-1.3000000000000114,-650.0000000000057
HDFCLIFE,2025-11-20,SHORT,QUIET,1.1879110815086171,755.55,759.3277499999999,SL Hit,-3.777749999999969,-1.8888749999999845,-944.4374999999923
HDFCLIFE,2025-11-25,LONG,QUIET,1.217071666082184,765.45,768.75,Time Limit (60m),3.2999999999999545,1.6499999999999773,824.9999999999886
LTIM,2025-11-20,LONG,GOLD,1.9381575411835223,6083.0,6082.0,Time Limit (60m),-1.0,-0.5,-75.0
LTIM,2025-12-01,LONG,GOLD,1.5466637352973507,6145.5,6151.5,Time Limit (60m),6.0,3.0,450.0
LTIM,2025-12-02,SHORT,QUIET,1.490305816510094,6107.5,6107.0,Time Limit (60m),0.5,0.25,37.5
TATACONSUM,2025-11-20,LONG,GOLD,1.6993549719587562,1170.0,1170.1,Time Limit (60m),0.09999999999990905,0.049999999999954525,44.99999999995907
TATACONSUM,2025-11-21,LONG,QUIET,1.4400460184838362,1182.3,1184.5,EOD,2.2000000000000455,1.1000000000000227,990.0000000000205
TATACONSUM,2025-11-25,SHORT,QUIET,1.0347316858900388,1173.1,1173.1,EOD,0.0,0.0,0.0
TATACONSUM,2025-11-28,SHORT,QUIET,1.0400383161284406,1166.3,1167.3,Time Limit (60m),-1.0,-0.5,-450.0
TATACONSUM,2025-12-01,SHORT,QUIET,1.1175513948542597,1164.5,1163.4,Time Limit (60m),1.099999999999909,0.5499999999999545,494.9999999999591
DRREDDY,2025-11-19,LONG,GOLD,1.7445156788346636,1249.9,1250.2,Time Limit (60m),0.2999999999999545,0.14999999999997726,18.749999999997158
DRREDDY,2025-11-28,LONG,QUIET,1.1546591558464376,1257.5,1257.5,EOD,0.0,0.0,0.0
COALINDIA,2025-11-21,SHORT,GOLD,2.344529785439475,377.6,378.45,EOD,-0.8499999999999659,-0.42499999999998295,-892.4999999999642
COALINDIA,2025-11-25,SHORT,GOLD,1.9045391934539286,370.15,370.0,EOD,0.14999999999997726,0.07499999999998863,157.49999999997613
COALINDIA,2025-12-01,LONG,GOLD,2.0527145900066666,378.9,379.6,EOD,0.7000000000000455,0.35000000000002274,735.0000000000477
JSWSTEEL,2025-11-18,SHORT,QUIET,1.1366189349241491,1165.0,1168.5,Time Limit (60m),-3.5,-1.75,-1181.25
JSWSTEEL,2025-11-28,LONG,GOLD,2.3852209147841696,1172.0,1166.14,SL Hit,-5.8599999999999,-2.92999999999995,-1977.7499999999663
